db_name,controller_id,side,trading_pair,order_type,trade_type,cumulative_fee_paid_quote,position_action,timestamp,price,base_amount,quote_amount,position_multiplier
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0032706,OPEN,1741749723,0.7268,9.0,6.5412,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00130878,OPEN,1741749721,0.7271,9.0,6.5439,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.0032688,OPEN,1741749729,0.7264,9.0,6.5376,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00130697,OPEN,1741749748,0.7261,9.0,6.5349,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,LIMIT,BUY,0.00130715,OPEN,1741749767,0.7262,9.0,6.5358,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,1,ADA-USDT,MARKET,SELL,0.0335835,CLOSE,1741767205,0.7463,90.0,67.167,1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0033885,OPEN,1741749658,0.4518,15.0,6.777,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.001126,CLOSE,1741749696,0.4504,5.0,2.252,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.002252,CLOSE,1741749696,0.4504,10.0,4.504,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0013515,OPEN,1741749639,0.4505,15.0,6.7575,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0026982,CLOSE,1741749743,0.4497,12.0,5.3964,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.00067455,CLOSE,1741749743,0.4497,3.0,1.3491,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0013455,OPEN,1741749595,0.4485,15.0,6.7275,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0033585,CLOSE,1741749795,0.4478,15.0,6.717,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0017984,OPEN,1741749618,0.4496,8.0,3.5968,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.00062944,OPEN,1741749619,0.4496,7.0,3.1472,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0033615,CLOSE,1741749849,0.4482,15.0,6.723,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0013452,OPEN,1741749851,0.4484,15.0,6.726,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.00335775,CLOSE,1741749889,0.4477,15.0,6.7155,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0035824,OPEN,1741749534,0.4478,16.0,7.1648,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.00156135,CLOSE,1741749909,0.4461,7.0,3.1227,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0020079,CLOSE,1741749909,0.4462,9.0,4.0158,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.00143328,OPEN,1741749530,0.4479,16.0,7.1664,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.003572,CLOSE,1741749918,0.4465,16.0,7.144,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0014288,OPEN,1741749919,0.4465,16.0,7.144,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.003564,CLOSE,1741749964,0.4455,16.0,7.128,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.003584,OPEN,1741749541,0.448,16.0,7.168,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0035584,CLOSE,1741749995,0.4448,16.0,7.1168,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0035744,OPEN,1741750026,0.4468,16.0,7.1488,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0035664,CLOSE,1741750107,0.4458,16.0,7.1328,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.003572,OPEN,1741750132,0.4465,16.0,7.144,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0035664,CLOSE,1741750181,0.4458,16.0,7.1328,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.00143008,OPEN,1741750035,0.4469,16.0,7.1504,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0035592,CLOSE,1741750234,0.4449,16.0,7.1184,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.00142592,OPEN,1741750241,0.4456,16.0,7.1296,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.00356,CLOSE,1741750309,0.445,16.0,7.12,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.00142656,OPEN,1741750340,0.4458,16.0,7.1328,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.00356,CLOSE,1741750429,0.445,16.0,7.12,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0035784,OPEN,1741750374,0.4473,16.0,7.1568,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.0035672,CLOSE,1741750478,0.4459,16.0,7.1344,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.00336375,OPEN,1741750719,0.4485,15.0,6.7275,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,MARKET,BUY,0.00335625,CLOSE,1741750725,0.4475,15.0,6.7125,-1
binance_perpetual-2025-11-3-0010-batch3-2025.sqlite,binance-perpetual||ADA-USDT||RED-USDT||2025||isoweek11||step-0.0010_3-0010,2,RED-USDT,LIMIT,SELL,0.0017984,OPEN,1741750777,0.4496,8.0,3.5968,-1
